iter	RMSE
0	87.11293172
1	84.4318338
2	81.82610568
3	80.34542585
4	77.94214736
5	75.52744845
6	73.6682352
7	71.95246249
8	70.59531535
9	69.98943833
10	68.71067486
11	68.02573307
12	67.22293652
13	66.39223666
14	65.46891702
15	65.15233162
16	64.21627002
17	63.51824097
18	63.2213533
19	62.87384321
20	62.4695409
21	61.99323683
22	61.66204935
23	61.27541845
24	60.66452554
25	60.28193213
26	59.97019709
27	59.801907
28	59.39969695
29	58.98703757
30	58.8291639
31	58.41714669
32	58.14424666
33	57.95546266
34	57.58540138
35	57.37943903
36	56.96556779
37	56.85918059
38	56.743494
39	56.48213284
40	56.3280254
41	56.22180489
42	56.02761509
43	55.89279664
44	55.85824824
45	55.71740513
46	55.57584321
47	55.47075517
48	55.38944841
49	55.34199176
50	55.20267929
51	55.13819216
52	55.0752353
53	55.03232484
54	54.8996794
55	54.84080362
56	54.72071785
57	54.6666815
58	54.52939114
59	54.42344413
60	54.30961158
61	54.21378714
62	54.07511367
63	54.03725053
64	53.97605404
65	53.87259651
66	53.76117515
67	53.73070995
68	53.69747671
69	53.52593347
70	53.40463019
71	53.3401069
72	53.26545868
73	53.17636336
74	53.12485496
75	53.04858341
76	52.87626857
77	52.85513491
78	52.80173419
79	52.64152275
80	52.58974025
81	52.51409659
82	52.33864697
83	52.2856644
84	52.19313625
85	52.11689278
86	52.01744046
87	51.97208123
88	51.92923938
89	51.87974872
90	51.76807812
91	51.6871396
92	51.61908654
93	51.57881761
94	51.51868094
95	51.49646629
96	51.40866867
97	51.36789853
98	51.26079193
99	51.11384172
100	50.93704142
101	50.85249857
102	50.77436397
103	50.68481125
104	50.64621375
105	50.56799012
106	50.51588992
107	50.44195686
108	50.33962657
109	50.2826129
110	50.12748131
111	50.02411138
112	49.89178222
113	49.78616119
114	49.4544271
115	49.36013355
116	49.26324794
117	49.11698235
118	48.61672887
119	48.23678045
120	48.16535835
121	48.03068487
122	47.91866796
123	47.81082097
124	47.59608708
125	47.4271289
126	47.31122635
127	47.19430291
128	47.0741059
129	46.8314915
130	46.68385815
131	46.59416261
132	46.41815051
133	46.27609957
134	46.19605929
135	46.02896181
136	45.89997489
137	45.72046189
138	45.55656049
139	45.45619469
140	45.27907165
141	45.19354256
142	45.07815739
143	44.9351073
144	44.85348188
145	44.57121287
146	44.39695253
147	44.27624472
148	44.12030443
149	44.02309293
150	43.84371571
151	43.73830082
152	43.61340768
153	43.49568272
154	43.36599344
155	43.10339518
156	43.0072165
157	42.89797365
158	42.77418295
159	42.5410151
160	42.43582274
161	42.28518969
162	42.20209423
163	42.14796031
164	42.05403946
165	42.01257718
166	41.89077444
167	41.70889538
168	41.61594183
169	41.45694334
170	41.33402552
171	41.22980338
172	41.14613066
173	41.10530467
174	40.99265168
175	40.91292837
176	40.82452334
177	40.80921215
178	40.69235209
179	40.54107115
180	40.52051503
181	40.41806633
182	40.32302602
183	40.23779973
184	40.14396456
185	40.0738727
186	40.00731263
187	39.95299077
188	39.86683498
189	39.74905475
190	39.65738794
191	39.5802199
192	39.52637154
193	39.44290971
194	39.35551278
195	39.27781951
196	39.21726627
197	39.14652045
198	39.07380451
199	39.02070063
200	38.96820992
201	38.90107647
202	38.84804246
203	38.83788579
204	38.73552442
205	38.61675518
206	38.53805831
207	38.4548719
208	38.38619141
209	38.32248111
210	38.24371002
211	38.164356
212	38.10431749
213	38.04509566
214	38.03869822
215	37.98841788
216	37.94837091
217	37.89097802
218	37.8117312
219	37.7265625
220	37.64840218
221	37.60144545
222	37.54515331
223	37.48816739
224	37.44924141
225	37.33447056
226	37.30389731
227	37.27567606
228	37.16272107
229	37.12247327
230	37.0764544
231	37.01524025
232	36.97029939
233	36.91396137
234	36.88196616
235	36.8526356
236	36.76059692
237	36.72455221
238	36.70450345
239	36.64186067
240	36.6024554
241	36.52040092
242	36.46809597
243	36.40100416
244	36.34602184
245	36.32132264
246	36.27793107
247	36.2265586
248	36.17755944
249	36.10278993
250	36.04672138
251	35.98372962
252	35.93782674
253	35.91174383
254	35.82595306
255	35.78295418
256	35.72639215
257	35.70505003
258	35.67297307
259	35.62477127
260	35.58721405
261	35.52983595
262	35.47404908
263	35.44914856
264	35.39465034
265	35.28270279
266	35.26912637
267	35.23688822
268	35.19879584
269	35.1855108
270	35.16477216
271	35.11258992
272	35.06121027
273	35.00816727
274	34.95956239
275	34.93878853
276	34.89529896
277	34.8288376
278	34.77005038
279	34.72655516
280	34.69671006
281	34.64764158
282	34.58805564
283	34.55907677
284	34.51379803
285	34.47811976
286	34.43878752
287	34.40706808
288	34.36672389
289	34.32886475
290	34.28868304
291	34.22217992
292	34.20511699
293	34.17757893
294	34.1648326
295	34.10475232
296	34.08875657
297	34.05364864
298	34.03733543
299	33.98662567
300	33.97513902
301	33.92672177
