iter	Passed	Remaining
418	2676	4536
419	2682	4528
420	2688	4521
421	2694	4514
422	2700	4506
423	2706	4499
424	2712	4492
425	2717	4485
426	2723	4477
427	2729	4470
428	2735	4463
429	2741	4455
430	2746	4448
431	2752	4441
432	2758	4433
433	2764	4426
434	2770	4419
435	2776	4413
436	2782	4405
437	2788	4398
438	2794	4391
439	2800	4384
440	2805	4377
441	2811	4369
442	2817	4362
443	2822	4355
444	2829	4348
445	2835	4341
446	2841	4334
447	2847	4328
448	2853	4321
449	2865	4323
450	2873	4319
451	2879	4312
452	2885	4305
453	2891	4298
454	2896	4290
455	2901	4282
456	2908	4276
457	2913	4268
458	2919	4261
459	2925	4254
460	2930	4246
461	2936	4239
462	2942	4231
463	2947	4224
464	2953	4217
465	2958	4209
466	2964	4202
467	2970	4195
468	2975	4187
469	2981	4180
470	2987	4173
471	2992	4165
472	2998	4158
473	3004	4151
474	3009	4144
475	3015	4136
476	3020	4129
477	3026	4121
478	3032	4114
479	3038	4108
480	3043	4100
481	3049	4093
482	3055	4087
483	3061	4080
484	3067	4073
485	3074	4067
486	3080	4060
487	3086	4053
488	3091	4046
489	3097	4039
490	3103	4032
491	3109	4025
492	3115	4018
493	3121	4011
494	3126	4004
495	3132	3997
496	3138	3991
497	3144	3984
498	3150	3977
499	3156	3970
500	3162	3963
501	3168	3957
502	3174	3950
503	3180	3944
504	3186	3937
505	3192	3930
506	3198	3924
507	3204	3917
508	3211	3911
509	3217	3904
510	3223	3898
511	3233	3896
512	3244	3895
513	3256	3895
514	3268	3896
515	3274	3889
516	3280	3883
517	3286	3876
518	3292	3869
519	3297	3862
520	3303	3855
521	3309	3848
522	3315	3841
523	3320	3834
524	3326	3827
525	3332	3819
526	3338	3813
527	3344	3806
528	3350	3800
529	3356	3793
530	3362	3787
531	3368	3779
532	3374	3773
533	3380	3766
534	3386	3759
535	3391	3752
536	3397	3746
537	3403	3738
538	3409	3731
539	3415	3725
540	3421	3718
541	3426	3711
542	3434	3706
543	3444	3704
544	3451	3698
545	3457	3691
546	3463	3685
547	3469	3678
548	3475	3671
549	3481	3664
550	3487	3658
551	3493	3651
552	3499	3645
553	3505	3638
554	3511	3631
555	3517	3625
556	3524	3619
557	3529	3612
558	3535	3605
559	3541	3598
560	3548	3592
561	3556	3588
562	3566	3585
563	3577	3583
564	3583	3577
565	3589	3570
566	3595	3564
567	3602	3557
568	3610	3553
569	3618	3548
570	3628	3545
571	3635	3540
572	3648	3539
573	3656	3535
574	3667	3533
575	3675	3528
576	3681	3522
577	3687	3515
578	3693	3508
579	3699	3501
580	3705	3495
581	3711	3488
582	3718	3482
583	3728	3479
584	3734	3472
585	3740	3466
586	3746	3459
587	3752	3452
588	3758	3446
589	3765	3439
590	3771	3433
591	3778	3427
592	3784	3420
593	3790	3414
594	3797	3407
595	3803	3401
596	3808	3394
597	3815	3387
598	3822	3381
599	3828	3375
600	3834	3368
601	3840	3362
602	3846	3355
603	3853	3349
604	3863	3346
605	3870	3340
606	3880	3337
607	3889	3332
608	3898	3328
609	3909	3326
610	3916	3319
611	3922	3313
612	3928	3307
613	3935	3300
614	3941	3293
615	3947	3287
616	3955	3282
617	3964	3278
618	3975	3275
619	3982	3269
620	3991	3264
621	3997	3258
622	4003	3251
623	4009	3245
624	4015	3238
625	4021	3231
626	4027	3224
627	4034	3218
628	4041	3212
629	4048	3207
630	4057	3202
631	4063	3195
632	4070	3189
633	4077	3183
634	4087	3179
635	4097	3176
636	4107	3172
637	4117	3168
638	4125	3163
639	4133	3157
640	4143	3154
641	4154	3151
642	4160	3144
643	4166	3138
644	4172	3131
645	4178	3124
646	4185	3118
647	4191	3111
648	4197	3104
649	4204	3098
650	4210	3091
651	4215	3084
652	4222	3077
653	4228	3070
654	4235	3065
655	4241	3058
656	4247	3051
657	4254	3045
658	4259	3038
659	4265	3031
660	4271	3024
661	4277	3017
662	4283	3010
663	4289	3004
664	4295	2997
665	4301	2990
666	4307	2983
667	4314	2977
668	4323	2972
669	4333	2968
670	4345	2966
671	4355	2961
672	4362	2955
673	4372	2951
674	4381	2946
675	4390	2942
676	4399	2937
677	4406	2931
678	4412	2924
679	4418	2917
680	4425	2911
681	4431	2904
682	4437	2897
683	4443	2890
684	4449	2884
685	4455	2877
686	4461	2870
687	4467	2863
688	4473	2856
689	4479	2850
690	4485	2843
691	4491	2836
692	4499	2830
693	4509	2826
694	4518	2821
695	4524	2814
696	4530	2808
697	4536	2801
698	4542	2794
699	4548	2787
700	4561	2784
701	4567	2778
702	4573	2771
703	4579	2764
704	4585	2757
705	4591	2751
706	4598	2744
707	4604	2737
708	4610	2731
709	4616	2724
710	4622	2717
711	4628	2710
712	4635	2704
713	4641	2697
714	4647	2690
715	4653	2684
716	4659	2677
717	4665	2670
718	4672	2664
719	4678	2657
720	4684	2650
721	4690	2643
